peak,ppm
bda_Ha,6.67
bda_Hb,7.46
bda_Ar_H_1,7.37
bda_Ar_H_2,7.54
bda_CH3,2.29
px1_Ha,4.97
px1_Hb,5.32
px1_CH3,2.42
px1p_Ha,4.91
px1p_Hb,5.33
px1p_CH3,2.12
px2_Ha,5.34
px2_Hb,5.37
px2_Hc_1,4.36
px2_Hc_2,4.24
px2_Ar_H,7.39
px3_Ha,5.4
px3_Hb,5.44
px3_Hc,6.43
px3_Ar_H,7.4
px4_Hb,8.0
px4_CH3,2.53
px4_Ar_H_1,7.85
px4_Ar_H_2,7.43
px5_Hb,8.09
px5_Hc,4.52
px5_Ar_H_1,7.88
px5_Ar_H_2,7.45
px5p_Hb,8.07
px5p_Hc,4.75
px5p_Ar_H_1,7.88
px5p_Ar_H_2,7.45
px6_Hb,8.23
px6_Hc,7.0
px6_Ar_H_1,7.88
px6_Ar_H_2,7.45
px7_Ha,6.9
px7_Hb,7.63
px7_Hc,4.12
px7_Ar_H_1,7.58
px7_Ar_H_2,7.41
px7p_Ha,6.97
px7p_Hb,7.63
px7p_Hc,4.34
px7p_Ar_H_1,7.58
px7p_Ar_H_2,7.34
px8_Ha,7.22
px8_Hb,7.82
px8_Hc,6.05
px8_Ar_H_1,7.64
px8_Ar_H_2,7.41
