plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 2, 1679574920, 2023-03-23 2, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
6, multicomponent_0320, 1679574931, 2023-03-23 21:35:31, 1679576448, 2023-03-23 22:00:48, '135-269', 
9, multicomponent_0320, 1679576458, 2023-03-23 22:00:58, 1679578053, 2023-03-23 22:27:33, '270-404', 
10, multicomponent_0320, 1679578063, 2023-03-23 22:27:43, 1679579692, 2023-03-23 22:54:52, '405-539', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
6, multicomponent_0320, 1679574931, 2023-03-23 21:35:31, 1679576448, 2023-03-23 22:00:48, '135-269', 
9, multicomponent_0320, 1679576458, 2023-03-23 22:00:58, 1679578053, 2023-03-23 22:27:33, '270-404', 
10, multicomponent_0320, 1679578063, 2023-03-23 22:27:43, 1679579692, 2023-03-23 22:54:52, '405-539', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
6, multicomponent_0320, 1679574931, 2023-03-23 21:35:31, 1679576448, 2023-03-23 22:00:48, '135-269', 
9, multicomponent_0320, 1679576458, 2023-03-23 22:00:58, 1679578053, 2023-03-23 22:27:33, '270-404', 
10, multicomponent_0320, 1679578063, 2023-03-23 22:27:43, 1679579692, 2023-03-23 22:54:52, '405-539', 
plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
3, multicomponent_0320, 1679573408, 2023-03-23 21:10:08, 1679574920, 2023-03-23 21:35:20, '0-134', 
6, multicomponent_0320, 1679574931, 2023-03-23 21:35:31, 1679576448, 2023-03-23 22:00:48, '135-269', 
9, multicomponent_0320, 1679576458, 2023-03-23 22:00:58, 1679578053, 2023-03-23 22:27:33, '270-404', 
10, multicomponent_0320, 1679578063, 2023-03-23 22:27:43, 1679579692, 2023-03-23 22:54:52, '405-539', 
