,shortname,fullname,date_source,solvent,concentration,bottle_id,plate_id,DMF,IIO029A,IIO029B,ald001,ic001
0,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.144,0,0,-5.684341886080802e-14,500.00000000000006,0.0,0.0,0.0
1,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.1376,1,0,22.22222222222223,477.77777777777777,0.0,0.0,0.0
2,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.13119999999999998,2,0,44.44444444444446,455.55555555555554,0.0,0.0,0.0
3,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.1248,3,0,66.66666666666663,433.33333333333337,0.0,0.0,0.0
4,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.11839999999999999,4,0,88.88888888888891,411.1111111111111,0.0,0.0,0.0
5,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.11199999999999999,5,0,111.11111111111114,388.88888888888886,0.0,0.0,0.0
6,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.1056,6,0,133.33333333333331,366.6666666666667,0.0,0.0,0.0
7,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.0992,7,0,155.55555555555554,344.44444444444446,0.0,0.0,0.0
8,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.0928,8,0,177.77777777777777,322.22222222222223,0.0,0.0,0.0
9,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.08639999999999999,9,0,200.0,300.0,0.0,0.0,0.0
10,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.0576,10,0,300.0,200.00000000000003,0.0,0.0,0.0
11,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.003628572623697235,11,0,487.4007895010513,12.599210498948732,0.0,0.0,0.0
12,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.00022858575148342088,12,0,499.2062994740159,0.7937005259841003,0.0,0.0,0.0
13,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,1.44e-05,13,0,499.95,0.05,0.0,0.0,0.0
14,IIO029A,3-butyl-4-(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate,26012023RF029,DMF,0.0,14,0,500.0,0.0,0.0,0.0,0.0
15,IIO029B,"3-butyl-2,4-bis(4-nitrophenyl)-1-(tosylmethyl)-1H-imidazol-3-ium-5-olate",26012023RF029,DMF,0.072,15,0,-5.684341886080802e-14,0.0,500.00000000000006,0.0,0.0
