index,reaction_id,DMF,ald001,ptsa,am001,ic001
0,0,83.2137931,27.5,22.7862069,16.5,50
1,1,81.88965517,27.5,24.11034483,16.5,50
2,2,80.56551724,27.5,25.43448276,16.5,50
3,3,79.24137931,27.5,26.75862069,16.5,50
4,4,77.91724138,27.5,28.08275862,16.5,50
5,5,76.59310345,27.5,29.40689655,16.5,50
6,6,75.26896552,27.5,30.73103448,16.5,50
7,7,73.94482759,27.5,32.05517241,16.5,50
8,8,72.62068966,27.5,33.37931034,16.5,50
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,9,71.29655172,27.5,34.70344828,16.5,50
19,10,69.97241379,27.5,36.02758621,16.5,50
20,11,68.64827586,27.5,37.35172414,16.5,50
21,12,67.32413793,27.5,38.67586207,16.5,50
22,13,66,27.5,40,16.5,50
23,14,59.2137931,42.5,22.7862069,25.5,50
24,15,57.88965517,42.5,24.11034483,25.5,50
25,16,56.56551724,42.5,25.43448276,25.5,50
26,17,55.24137931,42.5,26.75862069,25.5,50
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,18,53.91724138,42.5,28.08275862,25.5,50
37,19,52.59310345,42.5,29.40689655,25.5,50
38,20,51.26896552,42.5,30.73103448,25.5,50
39,21,49.94482759,42.5,32.05517241,25.5,50
40,22,48.62068966,42.5,33.37931034,25.5,50
41,23,47.29655172,42.5,34.70344828,25.5,50
42,24,45.97241379,42.5,36.02758621,25.5,50
43,25,44.64827586,42.5,37.35172414,25.5,50
44,26,43.32413793,42.5,38.67586207,25.5,50
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,27,42,42.5,40,25.5,50
