plate_code, experiment_name, start_time_unix, start_time_datetime, finish_time_unix, finish_time_datetime, pipetting_event_id, note
16, multicomponent_0320, 1679473846, 2023-03-22 17:30:46, 1679475336, 2023-03-22 17:55:36, '0-134', 
17, multicomponent_0320, 1679475347, 2023-03-22 17:55:47, 1679476804, 2023-03-22 18:20:04, '135-269', 
19, multicomponent_0320, 1679476815, 2023-03-22 18:20:15, 1679478359, 2023-03-22 18:45:59, '270-404', 
22, multicomponent_0320, 1679478370, 2023-03-22 18:46:10, 1679479894, 2023-03-22 19:11:34, '405-539', 
23, multicomponent_0320, 1679479905, 2023-03-22 19:11:45, 1679481425, 2023-03-22 19:37:05, '540-674', 
34, multicomponent_0320, 1679481436, 2023-03-22 19:37:16, 1679482995, 2023-03-22 20:03:15, '675-809', 
18, multicomponent_0320, 1679483006, 2023-03-22 20:03:26, 1679484514, 2023-03-22 20:28:34, '810-944', 
20, multicomponent_0320, 1679484526, 2023-03-22 20:28:46, 1679485993, 2023-03-22 20:53:13, '945-1079', 
21, multicomponent_0320, 1679486004, 2023-03-22 20:53:24, 1679488805, 2023-03-22 21:40:05, '1080-1214', 
03, multicomponent_0320, 1679488816, 2023-03-22 21:40:16, 1679490326, 2023-03-22 22:05:26, '1215-1349', 
