,ald001,am001,ic001,ptsa,ptsa_dil_x_10,DMF
0,20,12,20,0,16,132
1,20,12,20,20.8,0,127.2
2,20,12,20,40,0,108
3,20,12,35,0,16,117
4,20,12,35,20.8,0,112.2
5,20,12,35,40,0,93
6,20,12,50,0,16,102
7,20,12,50,20.8,0,97.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8,20,12,50,40,0,78
9,20,12.62068966,20,0,16,131.3793103
10,20,12.62068966,20,20.8,0,126.5793103
11,20,12.62068966,20,40,0,107.3793103
12,20,12.62068966,35,0,16,116.3793103
13,20,12.62068966,35,20.8,0,111.5793103
14,20,12.62068966,35,40,0,92.37931034
15,20,12.62068966,50,0,16,101.3793103
16,20,12.62068966,50,20.8,0,96.57931034
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17,20,12.62068966,50,40,0,77.37931034
18,20,13.24137931,20,0,16,130.7586207
19,20,13.24137931,20,20.8,0,125.9586207
20,20,13.24137931,20,40,0,106.7586207
21,20,13.24137931,35,0,16,115.7586207
22,20,13.24137931,35,20.8,0,110.9586207
23,20,13.24137931,35,40,0,91.75862069
24,20,13.24137931,50,0,16,100.7586207
25,20,13.24137931,50,20.8,0,95.95862069
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
26,20,13.24137931,50,40,0,76.75862069
27,20,13.86206897,20,0,16,130.137931
28,20,13.86206897,20,20.8,0,125.337931
29,20,13.86206897,20,40,0,106.137931
